Rank		Word		Count
1		THE		338
2		TO		247
3		AND		223
4		OF		191
5		A		177
6		IN		97
7		THAT		95
8		IS		90
9		FOR		89
10		FACEBOOK		79
11		???		67
12		ON		61
13		IT		60
14		SOCIAL		56
15		ARE		54
16		WITH		51
17		BE		49
18		AS		47
19		THE		46
20		THEIR		40
21		ITS		39
22		CAN		38
23		YOU		35
24		WILL		34
25		MORE		33
26		APPS		33
27		PEOPLE		31
28		APP		31
29		FROM		30
30		NETWORK		30
31		COMPANY		30
32		HAS		29
33		WAY		29
34		BUT		28
35		LIKE		28
36		HAVE		28
37		OR		28
38		NEW		27
39		SAYS		27
40		USERS		26
41		BY		26
42		AT		26
43		NOT		24
44		WAS		23
45		AN		23
46		OTHER		22
47		WHAT		21
48		THEY		21
49		TV		21
50		HEALTH		21
51		THIS		20
52		YOUR		20
53		WHO		20
54		WE		19
55		INTO		19
56		FAMILY		19
57		ALSO		18
58		THEM		18
59		BUT		18
60		GOOGLE+		18
61		ABOUT		17
62		WHERE		16
63		EDMODO		16
64		IT		15
65		DATA		15
66		FOURSQUARE		15
67		TEACHERS		15
68		NETWORKS		15
69		UP		15
70		STUDENTS		14
71		WHISPER		14
72		TIME		14
73		PROVIDE		14
74		MESSAGES		14
75		SAID		14
76		OUT		13
77		HELP		13
78		ONLINE		13
79		MOBILE		13
80		MOST		13
81		GOOGLE		13
82		THAN		12
83		WHICH		12
84		IN		12
85		YOU???RE		12
86		ALL		12
87		IT???S		12
88		WERE		12
89		WHEN		11
90		ONE		11
91		USE		11
92		THOSE		11
93		NOW		11
94		BEEN		11
95		ADVERTISERS		11
96		HE		11
97		FEW		10
98		OUR		10
99		YEARS		10
100		EVEN		10
101		NEED		10
102		SHOULD		10
103		DOWNEY		10
104		THESE		10
105		SERVICE		10
106		WATCHING		10
107		SYSTEM		10
108		USING		10
109		IF		10
110		JUST		10
111		AFTER		9
112		OWN		9
113		MAKE		9
114		KEEP		9
115		SHARE		9
116		CONNECT		9
117		THAT		9
118		ADS		9
119		SHOW		9
120		PARTICULAR		9
121		FIRST		9
122		SHOWS		9
123		AD		9
124		WANT		8
125		CHANGES		8
126		MANY		8
127		ANONYMOUS		8
128		SHARING		8
129		SECRET		8
130		TRYING		8
