Rank		Word		Count
1		THE		28
2		TO		22
3		OF		18
4		A		15
5		BE		13
6		THAT		12
7		IS		11
8		JUST		7
9		THE		6
10		WOULD		5
11		???		5
12		YOU		5
13		AND		5
14		THAN		4
15		THESE		4
16		OR		4
17		ATOM		4
18		WITH		4
19		FOR		4
20		IT		4
21		ARE		4
22		TECHNOLOGY		4
23		AT		4
24		AS		4
25		EVEN		4
26		INTO		3
27		ACCELERATOR		3
28		JOSHUA		3
29		BUT		3
30		RIGHT		3
31		BUT		3
32		ELECTRON		3
33		NOT		3
34		IN		3
35		FROM		3
36		CAN		3
37		IT		3
38		TEMPERATURE		2
39		WE		2
40		KNOWN		2
41		ENOUGH		2
42		ATOMS		2
43		ABLE		2
44		STATE		2
45		LIKE		2
46		NEEDED		2
47		HERE		2
48		HIS		2
49		RATHER		2
50		ONE		2
51		TURNER		2
52		EXPERIMENTS		2
53		ON		2
54		COMPACT		2
55		COMPUTING		2
56		D-ORBITALS		2
57		SELECT		2
58		MORE		2
59		ORBITAL		2
60		NOW		2
61		WHAT		2
62		DATA		2
63		MUCH		2
64		HAS		2
65		SIZE		2
66		CONTROLLED		2
67		NEED		2
68		MIGHT		2
69		STATES		2
70		T-RAYS		2
71		BIT		2
72		WAY		2
73		FASTER		2
74		BIG		2
75		SAY		2
76		FUTURE		2
77		ORBITS		2
78		PRACTICAL		2
79		BY		2
80		TIMES		2
81		CRYSTAL		2
82		ABOUT		2
83		AN		2
84		NEW		2
85		HE		2
86		SEEMS		1
87		WRENCHES		1
88		SPINTRONICS		1
89		PRISM		1
90		OUR		1
91		COMPARABLE		1
92		PROPERTIES		1
93		READILY		1
94		USING		1
95		CUT		1
96		DEVELOPED		1
97		CLAIMS		1
98		AROUND		1
99		WAVES		1
100		EXPECTING		1
101		GROSS		1
102		AMAZING		1
103		HEADS		1
104		COMPUTER		1
105		BEING		1
106		NANOTECHNOLOGY		1
107		STANFORD???S		1
108		PLAYGROUND		1
109		CALLED		1
110		BLOCK		1
111		EVENTUALLY		1
112		DEVICE		1
113		SWITCHED		1
114		BITS		1
115		THINGS		1
116		IDEA		1
117		MANY		1
118		OXYGEN		1
119		SO		1
120		GAMMA		1
121		AIMED		1
122		ANYTHING		1
123		PROBE		1
124		AN		1
125		WORKABLE		1
126		CONDUCTANCE)		1
127		PROCESSING		1
128		MANIPULATIONS		1
129		OTHER		1
130		X-RAYS		1
131		GOAL		1
132		ADJUSTING		1
133		VASTLY		1
134		SLAC		1
135		MAGNETORESISTANCE		1
136		TODAY		1
137		HARD		1
138		COMPUTERS		1
139		BETTER		1
140		TIGHT		1
141		USES		1
142		NUT		1
