Rank		Word		Count
1		GAMES		21
2		THREAD		14
3		USED		13
4		GREAT		13
5		NOMINATION		11
6		CONSOLES		11
7		FIND		10
8		AMAZON		9
9		USED		9
10		OLD		9
11		PRICES		9
12		BEST		8
13		GAME		8
14		NEW		8
15		ONLINE		8
16		HERE		7
17		LOOKING		7
18		FIVE		7
19		GAMES		7
20		EASY		7
21		DO		7
22		VIDEO		6
23		GOODWILL		6
24		SALE		6
25		BUY		6
26		PLACES		6
27		STORE		6
28		GO		6
29		LOCAL		5
30		ITEMS		5
31		WEEK		5
32		SELL		5
33		NOMINATIONS		5
34		READ		5
35		TAKE		5
36		TITLES		5
37		GLYDE		5
38		SOMETHING		5
39		CONSOLESEXPAND		5
40		FIVE		5
41		TOP		4
42		RETRO		4
43		MANY		4
44		BEST		4
45		TRADE-IN		4
46		SHOPPING		4
47		NO		4
48		SPECIFIC		4
49		JJGAMES		4
50		HUGE		4
51		RETAILER		4
52		GOOD		4
53		SEE		4
54		PLACE		4
55		BEFORE		4
56		ESTARLAND		4
57		WELL		4
58		BACK		4
59		MENTION		3
60		DISCOUNTS		3
61		DON		3
62		FANS		3
63		SELLING		3
64		SHIPPING		3
65		HAPPY		3
66		PEOPLE		3
67		GEMS		3
68		SOMEONE		3
69		PROCESS		3
70		BASED		3
71		TRADE		3
72		LISTED		3
73		MOST		3
74		STORES		3
75		CONTENDERS		3
76		FAVORITE		3
77		STUFF		3
78		BRICK		3
79		FALLOUT		3
80		OFF		3
81		THOSE		3
82		SOME		3
83		CALL		3
84		WORTH		3
85		TONS		3
86		WANT		3
87		MORTAR		3
88		SITE		3
89		SALES		3
90		HIVE		3
91		BUSINESS		2
92		CHECK		2
93		SOLID		2
94		FIRST		2
95		ELSEWHERE		2
96		OFFERING		2
97		SHOPGOODWILL		2
98		PLACES		2
99		DEDICATED		2
100		VE		2
101		BARGAINS		2
102		RETURNS		2
103		WORK		2
104		DEALS		2
105		PICK		2
106		GAMING		2
107		DON		2
108		CALLED		2
109		EVENTS		2
110		YOUR		2
111		MIND		2
112		BRICK-AND-MORTAR		2
113		BUYERS		2
114		ORDERS		2
115		LEAST		2
116		WON		2
117		MONEY		2
118		RUN		2
119		LOCATIONS		2
120		DEAL		2
121		CUSTOMER		2
122		PLENTY		2
123		AVAILABLE		2
124		CLASSIC		2
125		EVERYTHING		2
126		SPECIALIZES		2
127		THING		2
128		EACH		2
129		OFFERS		2
130		DOESN		2
131		CASH		2
132		CASE		2
133		MY		2
134		FAIRLY		2
135		STARTING		2
136		THREE		2
137		LL		2
138		RELEASES		2
139		NOTED		2
140		POPULAR		2
141		OFFER		2
142		PLUS		2
143		SPECIFICALLY		2
144		COURSE		2
145		HARDWARE		2
146		XBOX		2
147		SNES		2
148		PICKED		2
149		NOTE		2
150		PAINLESS		2
151		USE		2
152		ISN		2
153		STILL		2
154		PLATFORM		2
155		OF		2
156		ESPECIALLY		2
157		PRICE		2
158		DECENT		2
159		SERVICE		2
160		INDIVIDUAL		2
161		POINTS		2
162		POINT		2
163		NEIGHBORHOOD		2
164		SINCE		2
165		THEIR		2
166		ALONG		2
167		BIG		2
168		BUCK		2
169		NEAR		2
170		THROUGH		2
171		PERSONAL		2
172		SELECTION		2
173		COMPANY		2
174		RETAILERS		2
175		ACROSS		2
176		SCHOOL		2
177		ELSE		2
178		QUICKLY		2
179		HIGHLIGHTED		1
180		INSTEAD		1
181		SINCE		1
182		COMES		1
183		HAVE		1
184		TALKED		1
185		BASEMENT		1
186		FASTEST		1
187		TABLETS		1
188		READER		1
189		KNOWLEDGE		1
190		DESTINATION		1
191		COAXING		1
192		SORTS		1
193		LISTINGS		1
194		BLANKS		1
195		LOT		1
196		THROW		1
197		CUSTOMERS		1
198		COLLECTIBLES		1
199		OPTION		1
200		ALL		1
201		BACKWARDS		1
202		SCRAPE		1
203		MONEY		1
204		WHETHER		1
205		KNOWN		1
206		GOES		1
207		SEND		1
208		ODDS		1
209		STORES		1
210		EMPLOYEES		1
211		LIMB		1
212		OPERATE		1
213		COMPETITIVE		1
214		PARTICULAR		1
215		CONVENTION-STYLE		1
216		OPEN		1
217		WORKING		1
218		QUICK		1
219		WORLD		1
220		CLASSICS		1
221		WORD		1
222		TAKES		1
