Rank		Word		Count
1		OFFICE		33
2		MICROSOFT		28
3		SHAREPOINT		9
4		YAMMER		8
5		ONEDRIVE		7
6		CLOUD		7
7		APPS		7
8		EMAIL		7
9		ONLINE		7
10		BUSINESS		6
11		SAYS		6
12		GODADDY		6
13		USERS		6
14		SKYPE		5
15		PERCENT		5
16		AVAILABLE		5
17		SOCIAL		5
18		CLOUD-BASED		5
19		GREGERSON		5
20		NEW		5
21		PRODUCT		4
22		INTEGRATED		4
23		COMPANIES		4
24		INTEGRATION		4
25		STORAGE		4
26		CONTENT		4
27		WEB		4
28		COMPANY		4
29		-		4
30		APIS		3
31		CALENDAR		3
32		FIRST		3
33		CUSTOMERS		3
34		FILES		3
35		GREGERSEN		3
36		BEING		3
37		FILE		3
38		THINGS		3
39		WINDOWS		3
40		USES		3
41		ONLY		3
42		CUSTOMER		3
43		TIME		3
44		GROWTH		3
45		RELEASED		3
46		SKYDRIVE		3
47		DATA		3
48		ORGANIZATION		3
49		PRODUCTS		3
50		SERVER		3
51		MOBILE		3
52		NUMBERS		3
53		INCLUDING		3
54		THROUGH		3
55		LYNC		3
56		PACKAGES		3
57		COMES		2
58		PRO		2
59		SEEMS		2
60		WORD		2
61		NAMES		2
62		VIDEO		2
63		RELEVANT		2
64		GRAPH		2
65		NEW		2
66		TECHNOLOGIES		2
67		OFFERING		2
68		EXCEL		2
69		USING		2
70		CONVERSATIONS		2
71		STANDALONE		2
72		LAUNCHED		2
73		MANY		2
74		CONTROLS		2
75		KEEP		2
76		CONTACTS		2
77		ADMIN		2
78		ANDROID		2
79		SOLUTIONS		2
80		LEAST		2
81		HARD		2
82		BILLION		2
83		SUITE		2
84		USER		2
85		CONFUSING		2
86		PLANS		2
87		CHANGED		2
88		INFORMATION		2
89		SMALL		2
90		SOFTWARE		2
91		EACH		2
92		SHARING		2
93		NAME		2
94		BETWEEN		2
95		QUARTERS		2
96		FABRIC		2
97		APPLE		2
98		PARTICULARLY		2
99		PARTNER		2
100		KNOW		2
101		EXCHANGE		2
102		USE		2
103		SMALLER		2
