Rank		Word		Count
1		STORAGE		35
2		GOOGLE		34
3		MICROSOFT		26
4		CLOUD		21
5		BOX		21
6		SERVICES		20
7		APPLE		18
8		FILES		17
9		--		17
10		OFFICE		15
11		MOBILE		15
12		IOS		14
13		DROPBOX		13
14		OPEN		11
15		APPS		11
16		USE		11
17		CITRIX		10
18		DOCUMENTS		10
19		DOCUMENT		10
20		USERS		10
21		DRIVE		10
22		ONEDRIVE		9
23		WINDOWS		9
24		THIRD-PARTY		9
25		REDMAN		9
26		PRODUCTIVITY		8
27		USING		7
28		WORK		7
29		NO		7
30		EXPORT		7
31		SHAREFILE		7
32		WELL		7
33		ACCESS		6
34		YEH		6
35		OS		6
36		SAYS		6
37		IWORK		6
38		SAVE		6
39		X		6
40		ICLOUD		6
41		LOCALLY		5
42		ACCESSIBLE		5
43		SHAREPOINT		5
44		ENTERPRISE		5
45		IPAD		5
46		BUT		5
47		DOCS		5
48		EDITOR		5
49		IMPORT		5
50		BUSINESS		4
51		PROVIDERS		4
52		DEVICES		4
53		EDITORS		4
54		ANDROID		4
55		LEAST		4
56		HARD		4
57		VIRTUAL		4
58		QUICKOFFICE		4
59		TIME		4
60		THINK		4
61		MOST		4
62		MANAGEMENT		4
63		THOSE		4
64		GO		4
65		SERVICE		4
66		OTHERS		4
67		DRIVES		4
68		YOU		4
69		BACK		4
70		OWN		4
71		OPENS		3
72		OPEN		3
73		OFFICE		3
74		CAPTIVE		3
75		TOOLS		3
76		DEFAULT		3
77		FREE		3
78		BUSINESS		3
79		BEST		3
80		ESSENTIALLY		3
81		SYSTEM		3
82		SAVES		3
83		EXPECTS		3
84		THERE		3
85		MANAGED		3
86		PLATFORMS		3
87		PART		3
88		REAL		3
89		FACT		3
90		STORED		3
91		MAKES		3
92		ENTERPRISES		3
93		SOME		3
94		OFFLINE		3
95		NEED		3
96		POINT		3
97		APP		3
98		WANT		3
99		SUPPORT		3
100		|		3
101		THROUGH		3
102		DESKTOP		3
103		IT		3
104		)		3
105		BUSINESSES		3
106		INSTEAD		2
107		SERVER		2
108		TRYING		2
109		ECOSYSTEMS		2
110		DON		2
111		CUT		2
112		VALUE		2
113		HIGHER		2
114		CEO		2
115		MEANTIME		2
116		BELIEVES		2
117		FORMATTING		2
118		SAME		2
119		REVERSE		2
120		DIRECTLY		2
121		KEEP		2
122		APPLICATIONS		2
123		TODAY		2
124		UNIVERSALITY		2
125		ONLY		2
126		DECISION		2
127		AVAILABLE		2
128		BASED		2
129		SYSTEMS		2
130		DOESN		2
131		YEARS		2
132		AWKWARD		2
133		BETWEEN		2
134		THREE		2
135		NOTES		2
136		EVERYONE		2
137		UNIVERSAL		2
138		POPULAR		2
139		HANDLING		2
140		HANDLE		2
141		PARTNER		2
142		BOTHER		2
143		PRIVILEGE		2
144		FORCE		2
145		UNIVERSALLY		2
146		PLATFORM		2
147		ABILITY		2
148		ENVIRONMENTS		2
149		NO		2
150		BROWSER		2
151		NEEDS		2
152		FACILITY		2
153		TOOL		2
154		DRIVE		2
155		MANAGE		2
156		BEFORE		2
157		DO		2
