Rank		Word		Count
1		AND		30
2		GOOGLE		27
3		IN		21
4		THE		19
5		TO		17
6		DRIVE		14
7		SHEETS		13
8		FOR		13
9		DOCS		13
10		OF		12
11		NO		11
12		ARE		11
13		YOU		11
14		S		11
15		IOS		10
16		A		10
17		DOCUMENTS		9
18		THAT		8
19		OR		8
20		MOBILE		8
21		CAN		8
22		TEXT		8
23		ITS		7
24		IS		7
25		DO		6
26		AS		6
27		APPS		5
28		NOT		5
29		DOCUMENT		5
30		ANDROID		4
31		LL		4
32		OFFICE		4
33		IT		4
34		CELL		4
35		SPREADSHEETS		3
36		TOOLS		3
37		CAPABILITIES		3
38		SO		3
39		APPLY		3
40		ON		3
41		CELLS		3
42		IPAD		3
43		MORE		3
44		FOR		3
45		MICROSOFT		3
46		FROM		3
47		T		3
48		ANY		3
49		EDITING		3
50		PRODUCTIVITY		3
51		INSTEAD		2
52		BUSINESS		2
53		OFFICE		2
54		DISPLAYS		2
55		WE		2
56		STRIKETHROUGH		2
57		WORK		2
58		US		2
59		PASSWORD		2
60		VERSION		2
61		TABLES		2
62		LIKE		2
63		THERE		2
64		OTHER		2
65		SUITE		2
66		OPTIONS		2
67		ONLY		2
68		BUT		2
69		APPS		2
70		ONE		2
71		PARAGRAPH		2
72		MULTIPLE		2
73		SERIOUS		2
74		BUT		2
75		THERE		2
76		SHEETS		2
77		VERY		2
78		JUST		2
79		APPLE		2
80		WITH		2
81		SUCH		2
82		USE		2
83		ABILITY		2
84		SUBSETS		2
85		TWO		2
86		REALLY		2
87		GET		2
88		REVISIONS		2
89		IWORK		2
90		APP		2
91		WANT		2
92		LIMITED		2
93		LIST		2
94		IT		2
95		IN		2
96		BE		2
97		BORDERS		2
98		ABOUT		2
99		TRACKING		2
100		NEW		2
101		ALL		2
102		TRULY		1
103		OPEN		1
104		CAPITALIZATION		1
105		COMES		1
106		POORLY		1
107		ITALICS		1
108		FORCED		1
109		WORD		1
110		WRAP		1
111		WORSE		1
112		ONEDRIVE		1
113		GOVERNMENTS		1
114		SUPPORTS		1
115		LOW		1
116		LOT		1
117		TRYING		1
118		YESTERDAY		1
119		APPS?		1
120		MARK		1
121		EXCEL		1
122		FURTHER		1
123		STANDARD		1
124		MONEY		1
125		USING		1
126		ACCESS		1
127		THAN		1
128		FIND		1
129		PRODUCT		1
130		OFFERINGS		1
131		OPEN		1
132		EVISCERATED		1
133		--		1
134		BEING		1
135		STORE:		1
136		PATTERN		1
137		BAD		1
138		SEND		1
139		ALIGNMENT		1
140		CONTROL		1
141		CALLED		1
142		CAPABLE		1
143		GRAPHICS		1
144		DEVICE		1
