Rank		Word		Count
1		GOOGLE		35
2		--		14
3		MOBILE		14
4		IOS		13
5		SLIDES		12
6		APPS		11
7		FILES		10
8		SUITE		10
9		OPEN		9
10		APPS		9
11		DOCS		9
12		MICROSOFT		9
13		ANDROID		8
14		CHANGES		8
15		PRODUCTIVITY		8
16		DRIVE		8
17		SHEETS		7
18		FILE		7
19		APPLE		7
20		OFFICE		7
21		DO		7
22		DESKTOP		7
23		WEB		6
24		SAVE		6
25		ONLY		5
26		IPAD		5
27		FORMAT		5
28		LIMITED		5
29		OFFICE		4
30		DIRECTLY		4
31		QUICKOFFICE		4
32		NO		4
33		USE		4
34		APP		4
35		VERSIONS		3
36		PRESENTATION		3
37		KEYNOTE		3
38		SAME		3
39		USED		3
40		BUT		3
41		POWERPOINT		3
42		WHAT		3
43		LL		3
44		ABILITY		3
45		GOOD		3
46		BROWSER		3
47		DOCUMENT		3
48		TOOL		3
49		IWORK		3
50		WANT		3
51		WAY		3
52		TRY		3
53		EDITING		3
54		TEXT		3
55		NATIVE		3
56		SWITCH		3
57		FIRST		2
58		TOOLS		2
59		OPTION		2
60		FILENAME		2
61		WORKING		2
62		WORK		2
63		QUALITY		2
64		VERSION		2
65		TABLET		2
66		SERVICES		2
67		WEEK		2
68		DIDN		2
69		ALREADY		2
70		CAPABLE		2
71		CAPABILITIES		2
72		DEVICE		2
73		BASIC		2
74		BRING		2
75		BASICS		2
76		APPLY		2
77		BETTER		2
78		ADD		2
79		DEAL		2
80		TIME		2
81		MOVE		2
82		SOFTWARE		2
83		CLOUD		2
84		SERIOUS		2
85		ALWAYS		2
86		YEARS		2
87		RIGHT		2
88		SAVED		2
89		MY		2
90		STORED		2
91		SHOWS		2
92		CONVERT		2
93		KEYSTONE		2
94		ANOTHER		2
95		ERROR		2
96		SEE		2
97		NEED		2
98		PRESENTATIONS		2
99		CRAPPY		2
100		EXAMPLE		2
101		SAY		2
102		YOU		2
103		MESSAGE		2
104		COPS		2
105		DELETE		2
106		PRESENTER		2
107		ACROSS		2
108		)		2
109		ROAD		1
110		BOOST		1
111		BUSINESS		1
112		CHOICE		1
113		ENDED		1
114		ANIMATIONS		1
115		SEEMS		1
116		MEANING		1
117		WHETHER		1
118		ONEDRIVE		1
119		EXTRA		1
120		CHANGES!		1
121		LOW		1
122		LINE		1
123		COOL		1
124		TRUNCATED		1
125		BEFORE		1
126		EXCEL		1
127		APPS:		1
128		CREATE		1
129		CONSIDERABLY		1
130		INTERMITTENTLY		1
131		DEVICES		1
132		ACCESS		1
133		HAPPEN		1
134		BRINGING		1
135		LAPTOP		1
136		ITEMS		1
137		LOCALLY		1
138		POOR		1
139		SPUN-OUT		1
140		HANDLES		1
141		SYNC		1
142		TAKES		1
143		TESTS		1
144		WORKS		1
