Rank		Word		Count
1		???		21
2		GOOGLE+		18
3		SOCIAL		13
4		GOOGLE		12
5		FACEBOOK		12
6		PEOPLE		9
7		NETWORK		7
8		APPS		6
9		COMPANY		6
10		GUNDOTRA		5
11		BUT		5
12		NEW		5
13		SAYS		4
14		CHANGING		3
15		NETWORKS		3
16		ISN???T		3
17		USE		3
18		PLUMBING		3
19		DOESN???T		3
20		HOROWITZ		3
21		SERVICE		3
22		WAY		3
23		MESSAGES		2
24		INSTAGRAM		2
25		???NO		2
26		TECHCRUNCH		2
27		USEFUL		2
28		IT???S		2
29		SERVICES		2
30		CEO		2
31		GROUPS		2
32		SAME		2
33		YOUTUBE		2
34		NETWORKING		2
35		KINDS		2
36		SOMEONE		2
37		ESSENTIALLY		2
38		INFORMATION		2
39		FRONT-END		2
40		MEANT		2
41		ALWAYS		2
42		NO		2
43		MAIN		2
44		CONNECTIONS		2
45		STRATEGY		2
46		TWITTER		2
47		MAKES		2
48		???THE		2
49		STUFF		2
50		THOSE		2
51		MOBILE		2
52		GO		2
53		SHIRKY		2
54		THAT???S		2
55		NEED		2
56		BESBRIS		2
57		APP		2
58		WANT		2
59		LESS		2
60		BIG		2
61		FACEBOOK-STYLE		2
62		FUTURE		2
63		WELL		2
64		WHATSAPP		2
65		CIRCLES		2
66		SOCIAL		2
67		ONLINE		2
68		PROVIDE		2
69		OWN		2
70		NETWORKING		2
71		CONFIGURE		1
72		TABLETS		1
73		BIGWIG		1
74		TOP		1
75		RELEVANT		1
76		DISCOVERED		1
77		SERVES		1
78		DOMINATING		1
79		LETTING		1
80		BECAME		1
81		ZUCKERBERG		1
82		DEPARTURE		1
83		DEVICES		1
84		SIMULTANEOUS		1
85		CLAIMS		1
86		OPTIMIZED		1
87		PRODUCT		1
88		FANS		1
89		LARGER		1
90		PROFILE		1
91		WORLD		1
92		WORK		1
93		ENDING		1
94		DIFFERENT		1
95		DIRECTOR		1
96		OUTSIDE		1
97		STANDALONE		1
98		SEGREGATE		1
99		LAYER		1
